"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
,,"2023","41,349,170","1,165"
,,"2024","42,284,524","1,160"
,"Plastics and rubber products manufacturing  [326]","2007","10,009,980","1,497"
,,"2008","9,571,310","1,487"
,,"2009","8,231,015","1,395"
,,"2010","8,572,399","1,357"
,,"2011","9,614,586","1,352"
,,"2012","9,865,118","1,344"
,,"2013","9,466,527","1,309"
,,"2014","11,067,018","1,322"
,,"2015","11,771,356","1,315"
,,"2016","12,632,442","1,315"
,,"2017","12,820,303","1,327"
,,"2018","13,327,103","1,328"
,,"2019","13,565,106","1,345"
,,"2020","12,500,420","1,289"
,,"2021","14,497,073","1,310"
,,"2022","16,755,645","1,301"
,,"2023","16,493,348","1,311"
,,"2024","17,666,233","1,303"
,"Non-metallic mineral product manufacturing  [327]","2007","1,881,927","572"
,,"2008","1,665,168","540"
,,"2009","1,365,890","509"
,,"2010","1,254,933","487"
,,"2011","1,314,890","492"
,,"2012","1,396,033","465"
,,"2013","1,344,607","445"
,,"2014","1,499,506","446"
,,"2015","1,827,846","441"
,,"2016","2,069,060","447"
,,"2017","2,169,751","449"
,,"2018","2,395,857","436"
,,"2019","2,431,094","429"
,,"2020","2,265,909","399"
,,"2021","2,406,622","415"
,,"2022","2,703,553","418"
,,"2023","2,726,911","437"
,,"2024","2,686,539","445"
,"Primary metal manufacturing  [331]","2007","30,717,289","416"
,,"2008","34,630,795","416"
,,"2009","24,415,371","397"
,,"2010","33,911,831","384"
,,"2011","42,189,561","372"
,,"2012","38,415,826","365"
,,"2013","34,801,943","347"
,,"2014","40,051,484","343"
,,"2015","39,499,543","346"
,,"2016","38,443,889","345"
,,"2017","42,431,155","339"
,,"2018","43,707,373","330"
,,"2019","40,677,751","321"
,,"2020","39,638,847","327"
,,"2021","47,444,688","333"
,,"2022","58,984,763","329"
,,"2023","54,554,465","330"
,,"2024","56,535,932","330"
,"Fabricated metal product manufacturing  [332]","2007","8,609,041","2,799"
,,"2008","8,815,286","2,782"
,,"2009","6,246,346","2,524"
,,"2010","5,853,386","2,440"
,,"2011","6,370,291","2,480"
,,"2012","6,840,078","2,523"
,,"2013","7,044,656","2,495"
,,"2014","7,863,664","2,521"
,,"2015","9,251,817","2,504"
,,"2016","8,786,125","2,503"
,,"2017","9,197,861","2,557"
,,"2018","10,127,629","2,606"
,,"2019","10,740,054","2,679"
,,"2020","9,510,984","2,584"
,,"2021","10,378,823","2,655"
,,"2022","12,119,720","2,690"
,,"2023","13,070,834","2,771"
,,"2024","13,435,335","2,816"
,"Machinery manufacturing  [333]","2007","12,899,516","2,771"
,,"2008","13,770,515","2,752"
,,"2009","11,664,822","2,638"
,,"2010","11,353,740","2,506"
,,"2011","13,247,694","2,524"
,,"2012","14,464,026","2,592"
,,"2013","14,317,371","2,579"
,,"2014","15,061,519","2,560"
,,"2015","17,094,360","2,544"
,,"2016","16,675,746","2,543"
,,"2017","18,421,729","2,577"
,,"2018","19,884,591","2,624"
,,"2019","20,549,168","2,650"
,,"2020","17,978,924","2,563"
,,"2021","19,289,950","2,613"
,,"2022","24,474,151","2,660"
,,"2023","28,066,390","2,718"
,,"2024","26,922,511","2,703"
,"Computer and electronic product manufacturing  [334]","2007","10,614,816","1,212"
,,"2008","10,767,647","1,212"
,,"2009","9,720,092","1,156"
,,"2010","9,141,720","1,119"
,,"2011","8,934,240","1,089"
,,"2012","8,533,343","1,093"
,,"2013","8,318,784","1,073"
,,"2014","8,826,496","1,072"
,,"2015","8,741,764","1,058"
,,"2016","9,169,129","1,040"
,,"2017","8,785,171","1,024"
,,"2018","9,376,282","1,035"
,,"2019","10,885,890","1,009"
,,"2020","8,573,905","1,000"
,,"2021","9,156,815","988"
,,"2022","11,131,886","1,000"
,,"2023","11,672,735","994"
,,"2024","11,166,835","950"
,"Electrical equipment, appliance and component manufacturing  [335]","2007","4,052,978","645"
,,"2008","4,178,918","627"
,,"2009","3,284,254","594"
,,"2010","3,138,806","572"
,,"2011","3,145,938","595"
,,"2012","3,386,251","619"
,,"2013","3,126,461","609"
,,"2014","3,210,469","616"
,,"2015","3,708,022","624"
,,"2016","3,764,673","624"
,,"2017","3,975,159","624"
,,"2018","3,843,660","619"
,,"2019","4,200,757","630"
,,"2020","4,072,484","620"
,,"2021","4,210,713","632"
,,"2022","5,068,787","634"
,,"2023","5,981,622","636"
,,"2024","6,372,569","628"
,"Transportation equipment manufacturing  [336]","2007","82,020,140","1,166"
,,"2008","67,855,706","1,128"
,,"2009","53,799,018","1,058"
,,"2010","64,732,770","996"
,,"2011","65,439,129","980"
,,"2012","76,522,863","977"
,,"2013","75,714,997","958"
,,"2014","83,560,117","978"
,,"2015","95,309,217","988"
,,"2016","101,992,610","997"
,,"2017","96,359,716","1,023"
,,"2018","95,968,035","1,029"
,,"2019","98,492,771","1,034"
,,"2020","76,168,349","1,028"
,,"2021","71,433,237","1,049"
,,"2022","82,135,619","1,055"
,,"2023","107,719,237","1,057"
,,"2024","102,458,349","1,078"
,"Furniture and related product manufacturing  [337]","2007","3,330,005","1,020"
,,"2008","2,963,741","947"
,,"2009","2,184,472","869"
,,"2010","2,137,988","832"
,,"2011","2,260,756","797"
,,"2012","2,213,303","806"
,,"2013","2,431,151","729"
,,"2014","2,586,554","743"
,,"2015","3,203,939","768"
,,"2016","3,811,079","769"
,,"2017","3,730,596","766"
,,"2018","3,715,079","779"
,,"2019","4,009,529","789"
,,"2020","3,406,769","740"
,,"2021","3,670,258","754"
,,"2022","4,513,192","763"
,,"2023","4,692,406","782"
,,"2024","4,570,699","784"
,"Miscellaneous manufacturing  [339]","2007","3,994,041","1,499"
,,"2008","4,800,549","1,491"
,,"2009","5,040,903","1,377"
,,"2010","5,042,661","1,310"
,,"2011","7,020,158","1,337"
,,"2012","6,222,977","1,359"
,,"2013","6,989,971","1,397"
,,"2014","6,350,914","1,434"
,,"2015","6,669,498","1,441"
,,"2016","6,937,238","1,450"
,,"2017","6,081,689","1,475"
,,"2018","6,055,093","1,544"
,,"2019","8,567,770","1,567"
,,"2020","10,710,332","1,505"
,,"2021","11,406,693","1,506"
,,"2022","11,381,612","1,536"
,,"2023","10,409,843","1,529"
,,"2024","14,630,438","1,502"
,"Wholesale trade  [41]","2007","40,090,888","13,024"
,,"2008","48,444,593","12,591"
,,"2009","35,460,019","11,479"
,,"2010","37,942,395","11,001"
,,"2011","46,616,265","11,461"
,,"2012","49,173,428","11,503"
,,"2013","45,121,154","11,034"
,,"2014","61,049,345","11,484"
,,"2015","62,027,495","11,555"
,,"2016","58,106,434","11,451"
,,"2017","65,529,717","11,460"
,,"2018","74,241,303","11,929"
,,"2019","77,419,999","11,741"
,,"2020","71,448,921","11,032"
,,"2021","88,397,190","11,702"
,,"2022","113,303,751","11,998"
,,"2023","105,029,993","12,185"
,,"2024","108,293,856","11,733"
,"Retail trade  [44-45]","2007","3,955,302","3,325"
,,"2008","1,182,366","3,153"
,,"2009","936,634","2,878"
,,"2010","1,111,383","2,652"
,,"2011","721,410","3,052"
,,"2012","966,375","3,042"
,,"2013","1,007,804","2,950"
,,"2014","1,337,507","3,226"
,,"2015","1,986,575","3,661"
,,"2016","1,573,046","3,772"
,,"2017","1,515,461","3,648"
,,"2018","1,928,060","4,013"
,,"2019","2,015,156","4,157"
,,"2020","1,991,280","4,046"
,,"2021","2,412,785","4,634"
,,"2022","1,826,575","4,260"
,,"2023","2,178,257","4,585"
,,"2024","2,507,562","4,711"
,"Transportation and warehousing  [48-49]","2007","4,242,223","1,878"
,,"2008","4,752,089","1,820"
,,"2009","4,841,583","1,656"
,,"2010","5,278,118","1,546"
,,"2011","3,405,210","1,601"
,,"2012","4,817,117","1,698"
,,"2013","5,295,215","1,669"
,,"2014","7,078,119","1,721"
,,"2015","6,519,310","1,905"
,,"2016","5,398,258","1,923"
,,"2017","6,457,879","1,936"
,,"2018","4,252,474","1,978"
,,"2019","4,028,228","2,046"
,,"2020","5,456,370","2,158"
,,"2021","7,209,842","2,448"
,,"2022","4,724,894","2,648"
,,"2023","5,102,381","2,725"
,,"2024","5,118,025","2,743"
