"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
,,"2021","21,363","80"
,,"2022","186,405","87"
,,"2023","125,082","79"
,,"2024","145,819","90"
"Newfoundland and Labrador","All industries","2007","4,666,536","372"
,,"2008","6,872,395","365"
,,"2009","4,359,635","358"
,,"2010","5,070,243","314"
,,"2011","5,832,692","356"
,,"2012","5,614,634","330"
,,"2013","6,561,694","290"
,,"2014","5,467,708","323"
,,"2015","4,645,465","318"
,,"2016","4,447,632","289"
,,"2017","6,027,666","292"
,,"2018","6,994,266","310"
,,"2019","8,708,148","321"
,,"2020","7,253,451","285"
,,"2021","11,919,877","295"
,,"2022","15,088,268","307"
,,"2023","11,616,980","311"
,,"2024","12,478,683","313"
,"Agriculture, forestry, fishing and hunting  [11]","2007","66,668","17"
,,"2008","237,553","15"
,,"2009","20,235","17"
,,"2010","49,405","18"
,,"2011","188,395","23"
,,"2012","121,979","12"
,,"2013","241,671","17"
,,"2014","39,198","14"
,,"2015","44,735","14"
,,"2016","36,640","19"
,,"2017","179,324","16"
,,"2018","191,543","18"
,,"2019","160,360","12"
,,"2020","70,389","13"
,,"2021","75,909","13"
,,"2022","24,441","13"
,,"2023","18,246","22"
,,"2024","97,208","20"
,"Mining, quarrying, and oil and gas extraction  [21]","2007","1,135,329","15"
,,"2008","2,200,810","16"
,,"2009","1,852,476","15"
,,"2010","2,188,357","17"
,,"2011","2,756,468","16"
,,"2012","2,610,986","18"
,,"2013","2,875,061","19"
,,"2014","1,964,654","21"
,,"2015","1,558,040","20"
,,"2016","2,135,878","17"
,,"2017","2,869,235","20"
,,"2018","2,872,011","25"
,,"2019","4,557,503","27"
,,"2020","5,266,335","26"
,,"2021","9,893,781","23"
,,"2022","12,738,828","28"
,,"2023","9,570,773","18"
,,"2024","9,643,495","24"
,"Oil and gas extraction  [211]","2007","125","F"
,,"2008","..",".."
,,"2009","..",".."
,,"2010","..",".."
,,"2011","..",".."
,,"2012","..",".."
,,"2013","4","F"
,,"2014","7","F"
,,"2015","1,613","F"
,,"2016","14","F"
,,"2017","1,699","F"
,,"2018","34,071","F"
,,"2019","612,816","3"
,,"2020","783,213","5"
,,"2021","3,405,812","5"
,,"2022","7,324,618","6"
,,"2023","6,383,923","5"
,,"2024","6,662,068","8"
,"Mining and quarrying (except oil and gas)  [212]","2007","1,134,272","7"
,,"2008","2,198,065","6"
,,"2009","1,851,265","7"
,,"2010","2,187,572","10"
,,"2011","2,755,478","7"
,,"2012","2,610,559","9"
,,"2013","2,873,657","8"
,,"2014","1,962,587","9"
,,"2015","1,553,314","7"
,,"2016","2,131,312","7"
,,"2017","2,865,676","5"
,,"2018","2,831,281","7"
,,"2019","3,942,552","9"
,,"2020","4,479,757","8"
,,"2021","6,483,193","9"
,,"2022","5,412,323","9"
,,"2023","3,184,936","7"
,,"2024","2,978,108","6"
,"Support activities for mining, and oil and gas extraction  [213]","2007","931","7"
,,"2008","2,745","10"
,,"2009","1,211","8"
,,"2010","784","7"
,,"2011","990","9"
,,"2012","427","9"
,,"2013","1,401","10"
,,"2014","2,060","11"
,,"2015","3,113","11"
,,"2016","4,552","8"
,,"2017","1,861","13"
,,"2018","6,659","16"
,,"2019","2,135","15"
,,"2020","3,364","13"
,,"2021","4,777","9"
,,"2022","1,887","13"
,,"2023","1,915","6"
,,"2024","3,320","10"
,"Utilities  [22]","2007","5","F"
,,"2008","3","F"
,,"2009","129","F"
,,"2010","29","F"
,,"2011","24","F"
,,"2012","60","F"
,,"2013","37","F"
,,"2014","3,089","F"
,,"2015","24,852","F"
,,"2016","38,735","3"
,,"2017","42,281","8"
,,"2018","52,005","3"
,,"2019","30,742","4"
,,"2020","60,598","3"
,,"2021","80,363","8"
,,"2022","110,416","F"
,,"2023","71,593","F"
,,"2024","86,092","F"
,"Construction  [23]","2007","4,472","14"
,,"2008","258","7"
,,"2009","551","9"
,,"2010","834","10"
,,"2011","280","5"
,,"2012","464","10"
,,"2013","194","4"
,,"2014","1,390","9"
,,"2015","795","11"
,,"2016","2,625","6"
,,"2017","1,219","8"
,,"2018","223","5"
,,"2019","55","7"
,,"2020","81","4"
,,"2021","488","6"
,,"2022","14,578","13"
,,"2023","8,764","14"
,,"2024","28,724","11"
,"Manufacturing  [31-33]","2007","3,176,432","116"
,,"2008","4,241,219","110"
,,"2009","2,348,217","104"
,,"2010","2,703,304","102"
,,"2011","2,773,282","102"
,,"2012","2,586,262","92"
,,"2013","2,796,209","78"
,,"2014","2,459,011","79"
,,"2015","2,148,868","78"
,,"2016","1,875,679","76"
,,"2017","2,509,189","72"
,,"2018","2,980,870","72"
,,"2019","2,886,922","74"
,,"2020","1,296,795","73"
,,"2021","1,356,581","85"
,,"2022","1,694,105","75"
,,"2023","1,492,570","75"
,,"2024","2,084,155","76"
,"Food manufacturing  [311]","2007","431,215","56"
,,"2008","363,327","59"
,,"2009","505,256","50"
,,"2010","502,509","56"
,,"2011","440,311","54"
,,"2012","386,956","50"
,,"2013","337,311","37"
,,"2014","584,131","40"
,,"2015","646,578","41"
,,"2016","708,528","38"
,,"2017","577,831","37"
,,"2018","576,436","35"
,,"2019","643,586","36"
,,"2020","601,228","35"
,,"2021","1,011,988","41"
,,"2022","988,293","41"
,,"2023","784,289","40"
,,"2024","878,724","40"
,"Beverage and tobacco product manufacturing  [312]","2007","3,738","6"
,,"2008","3,799","6"
,,"2009","6,007","5"
,,"2010","7,770","4"
,,"2011","12,009","5"
,,"2012","15,566","4"
,,"2013","17,180","4"
,,"2014","484","3"
,,"2015","235","5"
,,"2016","165","3"
,,"2017","229","4"
,,"2018","165","F"
,,"2019","484","5"
,,"2020","1,737","3"
,,"2021","169","4"
,,"2022","255","F"
,,"2023","252","F"
,,"2024","129","F"
,"Textile mills  [313]","2007","..",".."
,,"2008","..",".."
,,"2009","..",".."
,,"2010","..",".."
,,"2011","..",".."
,,"2012","..",".."
,,"2013","..",".."
,,"2014","..",".."
,,"2015","..",".."
,,"2016","..",".."
,,"2017","..",".."
,,"2018","..",".."
,,"2019","..",".."
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Textile product mills  [314]","2007","104","F"
,,"2008","19","F"
,,"2009","12","F"
,,"2010","67","F"
,,"2011","141","F"
,,"2012","20","F"
,,"2013","16","F"
,,"2014","..",".."
,,"2015","..",".."
,,"2016","670","F"
,,"2017","62","F"
,,"2018","1,304","F"
,,"2019","1,370","F"
,,"2020","526","F"
,,"2021","1,778","F"
,,"2022","5,543","F"
,,"2023","1,625","F"
,,"2024","1,257","F"
,"Apparel manufacturing  [315]","2007","33","3"
,,"2008","6","F"
,,"2009","9","F"
,,"2010","21","F"
,,"2011","4","F"
,,"2012","..",".."
,,"2013","2,228","F"
,,"2014","4,030","F"
,,"2015","6,401","F"
,,"2016","7,856","F"
,,"2017","10,345","F"
,,"2018","12,034","F"
,,"2019","15,037","F"
,,"2020","9,234","F"
,,"2021","38","F"
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Leather and allied product manufacturing  [316]","2007","91","F"
,,"2008","5","F"
,,"2009","92","F"
,,"2010","74","F"
,,"2011","3,853","F"
,,"2012","442","F"
,,"2013","5,884","F"
,,"2014","3,541","F"
,,"2015","3,765","F"
,,"2016","1,820","F"
,,"2017","2,064","F"
,,"2018","1,943","F"
,,"2019","3,012","F"
,,"2020","321","F"
,,"2021","670","F"
,,"2022","500","F"
,,"2023","476","F"
,,"2024","1,880","F"
,"Wood product manufacturing  [321]","2007","255","3"
,,"2008","34","F"
,,"2009","..",".."
,,"2010","..",".."
,,"2011","5","F"
,,"2012","..",".."
,,"2013","35","F"
,,"2014","..",".."
,,"2015","..",".."
,,"2016","13","F"
,,"2017","..",".."
,,"2018","35","F"
,,"2019","188","F"
,,"2020","43","F"
,,"2021","881","3"
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Paper manufacturing  [322]","2007","162,893","4"
,,"2008","143,418","3"
,,"2009","82,723","4"
,,"2010","65,966","3"
,,"2011","82,503","4"
,,"2012","94,638","3"
,,"2013","82,627","F"
,,"2014","85,618","F"
,,"2015","89,894","F"
,,"2016","77,071","F"
,,"2017","88,397","F"
,,"2018","43,753","F"
,,"2019","..",".."
,,"2020","454","F"
,,"2021","582","F"
,,"2022","205,812","F"
,,"2023","191,960","F"
,,"2024","163,263","F"
,"Printing and related support activities  [323]","2007","..",".."
,,"2008","52","F"
,,"2009","270","3"
,,"2010","6","F"
,,"2011","60","3"
,,"2012","227","F"
,,"2013","450","F"
,,"2014","1,236","F"
,,"2015","2,228","F"
,,"2016","1,125","F"
,,"2017","123","F"
,,"2018","..",".."
,,"2019","86","F"
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Petroleum and coal product manufacturing  [324]","2007","2,367,455","F"
,,"2008","3,515,739","F"
,,"2009","1,700,112","F"
,,"2010","2,091,817","F"
,,"2011","2,206,161","F"
,,"2012","1,811,058","F"
,,"2013","2,321,956","F"
,,"2014","1,742,988","F"
,,"2015","1,369,986","F"
,,"2016","1,054,352","F"
,,"2017","1,786,795","F"
,,"2018","2,240,551","F"
,,"2019","2,049,140","F"
,,"2020","455,648","F"
,,"2021","31","F"
,,"2022","..",".."
,,"2023","165","F"
,,"2024","..",".."
,"Chemical manufacturing  [325]","2007","48","F"
,,"2008","21","F"
,,"2009","28","F"
,,"2010","1,956","F"
,,"2011","4,566","F"
,,"2012","7,241","F"
,,"2013","1,524","F"
,,"2014","4,526","F"
,,"2015","692","F"
,,"2016","..",".."
,,"2017","421","F"
,,"2018","36","F"
,,"2019","5","F"
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","697,815","F"
,"Plastics and rubber products manufacturing  [326]","2007","314","4"
,,"2008","87","3"
,,"2009","20","F"
,,"2010","..",".."
,,"2011","127","F"
,,"2012","1,502","3"
,,"2013","1,273","F"
,,"2014","3,593","3"
,,"2015","7,164","3"
,,"2016","3,974","F"
,,"2017","3,059","F"
,,"2018","21","F"
,,"2019","27","F"
,,"2020","18","F"
,,"2021","41","F"
,,"2022","86","F"
,,"2023","245","F"
,,"2024","220","F"
,"Non-metallic mineral product manufacturing  [327]","2007","1,309","4"
,,"2008","825","3"
,,"2009","660","4"
,,"2010","458","3"
,,"2011","287","3"
,,"2012","517","3"
,,"2013","2,938","F"
,,"2014","2,865","3"
,,"2015","4,246","F"
,,"2016","6,829","F"
,,"2017","18,579","F"
,,"2018","1,666","F"
,,"2019","1,663","F"
,,"2020","4,648","F"
,,"2021","1,519","F"
,,"2022","263","F"
,,"2023","262","F"
,,"2024","246","F"
,"Primary metal manufacturing  [331]","2007","..",".."
,,"2008","213","F"
,,"2009","..",".."
,,"2010","..",".."
,,"2011","..",".."
,,"2012","..",".."
,,"2013","..",".."
,,"2014","..",".."
,,"2015","..",".."
,,"2016","34","F"
,,"2017","3,638","F"
,,"2018","88,086","F"
,,"2019","153,075","F"
,,"2020","190,129","F"
,,"2021","302,248","F"
,,"2022","430,598","F"
,,"2023","463,457","F"
,,"2024","285,442","F"
,"Fabricated metal product manufacturing  [332]","2007","1,298","4"
,,"2008","559","4"
,,"2009","107","5"
,,"2010","110","5"
,,"2011","49","3"
,,"2012","48","4"
,,"2013","10","F"
,,"2014","849","F"
,,"2015","53","3"
,,"2016","539","4"
,,"2017","47","F"
,,"2018","247","F"
,,"2019","45","3"
,,"2020","1,977","3"
,,"2021","34","F"
,,"2022","..",".."
,,"2023","188","F"
,,"2024","102","F"
,"Machinery manufacturing  [333]","2007","7,605","3"
,,"2008","8,280","F"
,,"2009","8,684","5"
,,"2010","4,953","3"
,,"2011","1,644","3"
,,"2012","4,006","4"
,,"2013","1,651","3"
,,"2014","4,575","4"
,,"2015","13","F"
,,"2016","265","F"
,,"2017","2,472","5"
,,"2018","839","4"
,,"2019","3,506","5"
,,"2020","2,343","7"
,,"2021","3,880","8"
,,"2022","4,063","6"
,,"2023","5,015","5"
,,"2024","6,906","5"
,"Computer and electronic product manufacturing  [334]","2007","179,037","9"
,,"2008","183,764","8"
,,"2009","30,600","8"
,,"2010","21,352","7"
,,"2011","20,464","7"
,,"2012","11,830","7"
,,"2013","11,155","5"
,,"2014","8,857","6"
,,"2015","7,200","5"
,,"2016","6,778","5"
,,"2017","8,969","5"
,,"2018","9,726","4"
,,"2019","9,511","4"
,,"2020","19,946","6"
,,"2021","11,689","5"
,,"2022","32,030","F"
,,"2023","17,700","F"
,,"2024","22,913","5"
,"Electrical equipment, appliance and component manufacturing  [335]","2007","1,547","F"
,,"2008","1,576","F"
,,"2009","1,222","F"
,,"2010","539","F"
,,"2011","478","F"
,,"2012","710","F"
,,"2013","973","F"
,,"2014","1,059","F"
,,"2015","973","F"
,,"2016","686","F"
,,"2017","1,583","F"
,,"2018","1,231","F"
,,"2019","2,823","F"
,,"2020","3,904","F"
,,"2021","1,882","F"
,,"2022","3,510","F"
,,"2023","4,112","F"
,,"2024","3,272","F"
,"Transportation equipment manufacturing  [336]","2007","19,121","5"
,,"2008","19,299","3"
,,"2009","12,401","6"
,,"2010","5,628","5"
,,"2011","605","6"
,,"2012","251,427","4"
,,"2013","8,516","4"
,,"2014","10,132","3"
,,"2015","6,517","F"
,,"2016","3,469","4"
,,"2017","3,688","F"
,,"2018","2,770","4"
,,"2019","3,309","F"
,,"2020","4,533","F"
,,"2021","6,278","5"
,,"2022","8,565","F"
,,"2023","7,497","F"
,,"2024","5,427","F"
,"Furniture and related product manufacturing  [337]","2007","271","4"
,,"2008","11","3"
,,"2009","..",".."
,,"2010","8","F"
,,"2011","9","F"
,,"2012","10","F"
,,"2013","5","F"
,,"2014","8","F"
,,"2015","206","F"
,,"2016","22","F"
,,"2017","..",".."
,,"2018","14","F"
,,"2019","23","F"
,,"2020","96","F"
,,"2021","53","F"
,,"2022","249","F"
,,"2023","66","F"
,,"2024","83","F"
,"Miscellaneous manufacturing  [339]","2007","98","3"
,,"2008","187","4"
,,"2009","15","3"
,,"2010","70","3"
,,"2011","7","F"
,,"2012","63","F"
,,"2013","475","4"
,,"2014","518","5"
,,"2015","2,718","4"
,,"2016","1,483","3"
,,"2017","886","F"
,,"2018","14","3"
,,"2019","33","F"
,,"2020","10","F"
,,"2021","12,821","3"
,,"2022","14,339","F"
,,"2023","15,259","F"
,,"2024","16,476","6"
,"Wholesale trade  [41]","2007","219,274","66"
,,"2008","97,505","66"
,,"2009","75,542","62"
,,"2010","78,807","54"
,,"2011","79,636","67"
,,"2012","73,773","61"
,,"2013","150,470","55"
,,"2014","191,108","61"
,,"2015","733,596","63"
,,"2016","256,831","54"
,,"2017","275,339","48"
,,"2018","849,116","52"
,,"2019","1,033,604","56"
,,"2020","500,353","49"
,,"2021","444,005","50"
,,"2022","439,863","56"
,,"2023","411,358","60"
,,"2024","460,019","47"
,"Retail trade  [44-45]","2007","7,883","50"
,,"2008","5,790","48"
,,"2009","3,450","50"
,,"2010","1,180","41"
,,"2011","1,010","55"
,,"2012","685","36"
,,"2013","1,059","42"
,,"2014","13,215","43"
,,"2015","15,699","52"
,,"2016","12,984","44"
,,"2017","8,914","45"
,,"2018","9,620","56"
,,"2019","11,727","59"
,,"2020","21,476","41"
,,"2021","16,962","42"
,,"2022","13,602","33"
,,"2023","8,920","29"
,,"2024","4,277","33"
,"Transportation and warehousing  [48-49]","2007","49,419","20"
,,"2008","42,007","31"
,,"2009","8,094","27"
,,"2010","4,745","18"
,,"2011","7,735","21"
,,"2012","139,432","22"
,,"2013","202,661","18"
,,"2014","26,715","18"
,,"2015","34,042","20"
,,"2016","59,029","19"
,,"2017","105,087","18"
,,"2018","12,732","17"
,,"2019","8,394","20"
,,"2020","19,438","18"
,,"2021","18,357","15"
,,"2022","30,701","23"
,,"2023","14,358","25"
,,"2024","26,887","20"
,"Information and cultural industries  [51]","2007","18","3"
,,"2008","78","F"
,,"2009","237","5"
,,"2010","4","F"
,,"2011","28","4"
,,"2012","281","7"
,,"2013","13","3"
,,"2014","51","6"
,,"2015","22","F"
,,"2016","91","F"
,,"2017","101","F"
,,"2018","37","F"
,,"2019","28","3"
,,"2020","116","F"
,,"2021","113","3"
,,"2022","61","F"
,,"2023","62","F"
,,"2024","93","6"
,"Finance and insurance  [52]","2007","57","F"
,,"2008","10","F"
,,"2009","..",".."
,,"2010","..",".."
,,"2011","..",".."
,,"2012","102","F"
,,"2013","201","F"
,,"2014","33","F"
,,"2015","201","F"
,,"2016","628","F"
,,"2017","256","F"
,,"2018","277","F"
,,"2019","125","3"
,,"2020","99","3"
,,"2021","295","F"
,,"2022","..",".."
,,"2023","..",".."
,,"2024","2","F"
,"Real estate and rental and leasing  [53]","2007","1,910","7"
,,"2008","61","F"
,,"2009","1,755","6"
,,"2010","1,642","5"
,,"2011","4,599","5"
,,"2012","415","6"
,,"2013","1,347","F"
,,"2014","1,629","4"
,,"2015","2,398","4"
,,"2016","4,070","3"
,,"2017","1,664","F"
,,"2018","670","9"
,,"2019","185","7"
,,"2020","993","3"
,,"2021","4,097","11"
,,"2022","1,751","11"
,,"2023","3,314","10"
,,"2024","10,487","10"
,"Professional, scientific and technical services  [54]","2007","1,900","25"
,,"2008","3,218","27"
,,"2009","1,665","30"
,,"2010","2,946","18"
,,"2011","3,043","25"
,,"2012","2,055","20"
,,"2013","4,056","16"
,,"2014","79,440","23"
,,"2015","5,853","18"
,,"2016","2,684","16"
,,"2017","3,736","17"
,,"2018","8,358","19"
,,"2019","7,629","18"
,,"2020","5,151","22"
,,"2021","6,574","16"
,,"2022","8,644","21"
,,"2023","8,533","23"
,,"2024","14,976","26"
,"Management of companies and enterprises  [55]","2007","225","F"
,,"2008","40,321","F"
,,"2009","40,338","5"
,,"2010","30,921","3"
,,"2011","9,284","4"
,,"2012","8,569","7"
,,"2013","275,870","7"
,,"2014","674,072","7"
,,"2015","64,784","8"
,,"2016","16,253","5"
,,"2017","22,763","5"
,,"2018","12,234","3"
,,"2019","2,388","F"
,,"2020","687","F"
,,"2021","5,061","F"
,,"2022","49","F"
,,"2023","..",".."
,,"2024","..",".."
,"Administrative and support, waste management and remediation services  [56]","2007","1,401","6"
,,"2008","1,681","7"
,,"2009","5,446","7"
,,"2010","4,604","5"
,,"2011","4,206","5"
,,"2012","66,119","8"
,,"2013","8,681","6"
,,"2014","10,763","5"
,,"2015","8,913","5"
,,"2016","3,513","3"
,,"2017","3,224","4"
,,"2018","3,302","4"
,,"2019","5,698","4"
,,"2020","4,587","6"
,,"2021","4,482","4"
,,"2022","5,315","F"
,,"2023","6,493","F"
,,"2024","5,878","6"
,"Educational services  [61]","2007","93","5"
,,"2008","52","3"
,,"2009","20","F"
,,"2010","342","F"
,,"2011","..",".."
,,"2012","37","4"
,,"2013","8","F"
,,"2014","205","F"
,,"2015","..",".."
,,"2016","46","F"
,,"2017","2,892","3"
,,"2018","..",".."
,,"2019","64","F"
,,"2020","..",".."
,,"2021","19","F"
,,"2022","163","F"
,,"2023","34","F"
,,"2024","5","F"
,"Health care and social assistance  [62]","2007","10","F"
,,"2008","19","5"
,,"2009","24","3"
,,"2010","39","4"
,,"2011","42","7"
,,"2012","44","6"
,,"2013","89","7"
,,"2014","136","6"
,,"2015","26","4"
,,"2016","14","3"
,,"2017","29","F"
,,"2018","29","4"
,,"2019","139","3"
,,"2020","43","5"
,,"2021","19","3"
,,"2022","5","F"
,,"2023","37","5"
,,"2024","207","8"
,"Arts, entertainment and recreation  [71]","2007","556","7"
,,"2008","410","5"
,,"2009","539","F"
,,"2010","387","3"
,,"2011","445","3"
,,"2012","197","4"
,,"2013","229","4"
,,"2014","155","4"
,,"2015","174","F"
,,"2016","308","4"
,,"2017","149","3"
,,"2018","298","4"
,,"2019","312","4"
,,"2020","32","5"
,,"2021","36","5"
,,"2022","29","F"
,,"2023","85","7"
,,"2024","455","8"
,"Accommodation and food services  [72]","2007","64","F"
,,"2008","16","3"
,,"2009","222","3"
,,"2010","..",".."
,,"2011","1","F"
,,"2012","24","F"
,,"2013","13","F"
,,"2014","9","F"
,,"2015","1","F"
,,"2016","78","F"
,,"2017","41","F"
,,"2018","44","F"
,,"2019","..",".."
,,"2020","..",".."
,,"2021","16","F"
,,"2022","..",".."
,,"2023","11","F"
,,"2024","33","F"
,"Other services (except public administration)  [81]","2007","727","10"
,,"2008","1,359","13"
,,"2009","686","8"
,,"2010","757","7"
,,"2011","2,948","8"
,,"2012","3,117","10"
,,"2013","3,461","4"
,,"2014","2,167","14"
,,"2015","2,006","10"
,,"2016","1,532","8"
,,"2017","2,121","5"
,,"2018","783","11"
,,"2019","2,268","15"
,,"2020","6,236","8"
,,"2021","12,711","4"
,,"2022","5,315","11"
,,"2023","1,692","11"
,,"2024","15,677","8"
,"Public administration  [91]","2007","94","F"
,,"2008","24","F"
,,"2009","8","F"
,,"2010","1,940","5"
,,"2011","1,264","3"
,,"2012","34","3"
,,"2013","362","F"
,,"2014","667","4"
,,"2015","459","4"
,,"2016","15","F"
,,"2017","102","12"
,,"2018","114","4"
,,"2019","4","F"
,,"2020","43","3"
,,"2021","8","F"
,,"2022","403","F"
,,"2023","139","F"
,,"2024","14","F"
"Prince Edward Island","All industries","2007","528,135","179"
,,"2008","586,691","229"
,,"2009","731,607","228"
,,"2010","634,674","209"
,,"2011","704,857","236"
,,"2012","812,769","212"
,,"2013","875,078","217"
,,"2014","1,041,229","211"
,,"2015","1,254,869","210"
,,"2016","1,293,068","228"
,,"2017","1,400,828","226"
,,"2018","1,528,586","242"
,,"2019","1,706,186","234"
,,"2020","1,564,898","235"
,,"2021","1,737,128","258"
,,"2022","2,059,143","260"
,,"2023","2,382,846","275"
,,"2024","2,545,841","278"
,"Agriculture, forestry, fishing and hunting  [11]","2007","42,806","32"
,,"2008","52,551","68"
,,"2009","43,118","61"
,,"2010","45,893","62"
,,"2011","58,617","69"
,,"2012","60,502","52"
,,"2013","58,241","45"
,,"2014","57,387","37"
,,"2015","89,499","53"
,,"2016","91,532","58"
,,"2017","58,791","51"
,,"2018","86,950","69"
,,"2019","82,635","57"
,,"2020","106,243","65"
,,"2021","115,409","65"
,,"2022","172,376","66"
,,"2023","183,676","72"
,,"2024","195,125","71"
,"Mining, quarrying, and oil and gas extraction  [21]","2007","8","F"
,,"2008","828","F"
,,"2009","867","F"
,,"2010","356","F"
,,"2011","47","F"
,,"2012","46","F"
,,"2013","704","F"
,,"2014","585","F"
,,"2015","2,969","F"
,,"2016","2,499","F"
,,"2017","4,374","3"
,,"2018","3,805","3"
,,"2019","2,969","3"
,,"2020","3,638","3"
,,"2021","3,326","3"
,,"2022","2,285","F"
,,"2023","1,757","F"
,,"2024","879","F"
,"Oil and gas extraction  [211]","2007","..",".."
,,"2008","..",".."
,,"2009","..",".."
,,"2010","..",".."
,,"2011","..",".."
,,"2012","..",".."
,,"2013","..",".."
,,"2014","..",".."
,,"2015","..",".."
,,"2016","..",".."
,,"2017","..",".."
,,"2018","..",".."
,,"2019","..",".."
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Mining and quarrying (except oil and gas)  [212]","2007","8","F"
,,"2008","828","F"
,,"2009","867","F"
,,"2010","356","F"
,,"2011","47","F"
,,"2012","46","F"
,,"2013","704","F"
,,"2014","585","F"
,,"2015","2,969","F"
,,"2016","2,499","F"
