year,province,naics_6digit,emissions,synthetic
2023,Blue Ridge,4830.0,0.0,False
2023,Alberta,221119.0,5015.11794,False
2023,MONTRÉAL-EST,3916.0,0.0,False
2023,Quebec,331410.0,0.0,False
2023,Ontario,212232.0,24996.655,False
2023,Ontario,337214.0,0.0,False
2023,Quebec,562210.0,91284.87,False
2023,Quebec,562210.0,18387.04,False
2023,Quebec,326140.0,16833.44204,False
2023,Alberta,311224.0,64118.3461,False
2023,Nunavut,212220.0,253807.7277,False
2023,Quebec,212210.0,0.0,False
2023, excepting the 21.3 acre acreage parcel located within the NW1/4,-112.4021,0.0,False
2023,New Brunswick,221210.0,10670.4987,False
2023,British Columbia,221330.0,93889.67076,False
2023,Ontario,562210.0,18293.34736,False
2023,Ontario,562210.0,0.0,False
2023,Alberta,211141.0,274125.9378,False
2023,Ontario,337213.0,0.0,False
2023,Alberta,211110.0,0.0,False
2023,Alberta,221112.0,141787.3057,False
2023,Ontario,221330.0,46104.658,False
2023,Ontario,337214.0,0.0,False
2023,Ontario,321217.0,14302.667,False
2023,Alberta,212114.0,81086.08081,False
2023,Ontario,311420.0,0.0,False
2023,British Columbia,212299.0,49468.6862,False
2023,Ontario,331110.0,0.0,False
2023,Ontario,212220.0,0.0,False
2023,Quebec,331529.0,47692.8485,False
2023,Alberta,211141.0,0.0,False
2023,Saskatchewan,212396.0,0.0,False
2023,Ontario,322130.0,74053.8909,False
2023,Ontario,221112.0,359859.1099,False
2023,Saskatchewan,212396.0,0.0,False
2023,Alberta,212115.0,31663.7793,False
2023,Ontario,911910.0,29608.9,False
2023,Ontario,562210.0,59612.34,False
2023,Quebec,562210.0,17402.105,False
2023,Ontario,325410.0,0.0,False
2023,Saskatchewan,221112.0,0.0,False
2023,British Columbia,211110.0,0.0,False
2023,Alberta,211141.0,548023.3012,False
2023,Quebec,322121.0,0.0,False
2023,British Columbia,322112.0,62335.3365,False
2023,Ontario,331210.0,85463.465,False
2023,Ontario,611310.0,48880.63192,False
2023,Alberta,221119.0,10927.85105,False
2023,Ontario,221112.0,975423.3444,False
2023,British Columbia,331222.0,13056.369,False
2023,Ontario,611310.0,0.0,False
2023,Quebec,562210.0,46348.4,False
2023,British Columbia,212114.0,114775.3681,False
2023,Alberta,321217.0,16068.99548,False
2023,Ontario,611310.0,60459.92371,False
2023,British Columbia,322112.0,0.0,False
2023,Alberta,211110.0,34361.967,False
2023,Quebec,331110.0,184553.7519,False
2023,Saskatchewan,212396.0,103672.0832,False
2023,British Columbia,211110.0,0.0,False
2023,Alberta,211110.0,237436.0019,False
2023,Ontario,562210.0,95128.27,False
2023,Ontario,322130.0,43066.2376,False
2023,Ontario,327120.0,54424.25,False
2023,Ontario,312140.0,13093.63707,False
2023, Box 15,-119.2185,0.0,False
2023,Quebec,212220.0,195814.6804,False
2023,Alberta,221119.0,4622.55,False
2023,Quebec,312140.0,94.1892,False
2023,British Columbia,211110.0,38796.2243,False
2023,British Columbia,211110.0,68877.3476,False
2023,Selkirk,1651.0,0.0,False
2023,British Columbia,212233.0,129512.8841,False
2023,Nunavut,212220.0,26932.61695,False
2023,Ontario,325190.0,58460.0227,False
2023,Quebec,322130.0,34766.25955,False
2023,Alberta,325190.0,0.0,False
2023,Nova Scotia,326210.0,16245.78965,False
2023,Nova Scotia,326210.0,48213.9,False
2023,Nova Scotia,326210.0,20754.15094,False
2023,Saskatchewan,221112.0,96515.2734,False
2023,Manitoba,211110.0,33868.71,False
2023,Alberta,211110.0,63097.98344,False
2023,British Columbia,211110.0,21358.8396,False
2023,Ontario,327990.0,61585.077,False
